date,n_nodes,n_edges,total_volume,avg_degree,avg_clustering
2017-01-01,1002.0,912.0,49574.292044722795,1.818363273453094,0.0
2017-01-02,1057.0,937.0,100613.40422317159,1.772942289498581,0.0
2017-01-03,1064.0,925.0,172576.62100687332,1.7387218045112782,0.0
2017-01-04,1062.0,921.0,181650.54881645087,1.734463276836158,0.0
2017-01-05,1081.0,932.0,211765.74475053826,1.7206290471785384,0.0
2017-01-06,1078.0,937.0,184875.8753896902,1.738404452690167,0.0
2017-01-07,1054.0,933.0,93583.5851833288,1.7703984819734346,0.0
2017-01-08,1065.0,937.0,65545.06236578434,1.7596244131455399,0.0
2017-01-09,1051.0,928.0,135467.29914470788,1.7659372026641293,0.0
2017-01-10,1009.0,896.0,172409.80031637204,1.77601585728444,0.0
2017-01-11,1040.0,925.0,110184.57633059492,1.7788461538461537,0.0
2017-01-12,1034.0,919.0,114233.61589472441,1.7775628626692457,0.0
2017-01-13,1022.0,906.0,46543.92170311662,1.7729941291585127,0.0
2017-01-14,1043.0,919.0,10249.885782258829,1.760306807286673,0.0
2017-01-15,1013.0,906.0,11717.580440760252,1.7887462981243831,0.0
2017-01-16,1049.0,930.0,16276.772315750384,1.773117254528122,0.0014299332697807435
2017-01-17,1036.0,908.0,236719.627832972,1.752895752895753,0.0
2017-01-18,1027.0,904.0,17307.02448589391,1.7604673807205453,0.0
2017-01-19,1050.0,929.0,44011.67726238194,1.7695238095238095,0.0
2017-01-20,1055.0,942.0,54290.57250167531,1.7838862559241706,0.0
2017-01-21,1013.0,909.0,23055.915437535223,1.7946692991115498,0.0
2017-01-22,1017.0,912.0,36326.12636661172,1.791543756145526,0.0
2017-01-23,1030.0,922.0,13039.387304532811,1.7902912621359224,0.0
2017-01-24,1041.0,915.0,21021.51684688345,1.7579250720461095,0.0
2017-01-25,1038.0,928.0,21217.57252078224,1.7861271676300579,0.0
2017-01-26,1037.0,909.0,13094.617053857919,1.7531340405014464,0.0
2017-01-27,1009.0,900.0,12807.378102663737,1.7839444995044598,0.0
2017-01-28,986.0,898.0,7397.690902446904,1.81947261663286,0.0
2017-01-29,1022.0,912.0,31710.665228516682,1.7847358121330723,0.0
2017-01-30,1028.0,908.0,7830.543598523538,1.764591439688716,0.0
2017-01-31,1031.0,924.0,31443.768775134762,1.7924345295829291,0.0
2017-02-01,1037.0,921.0,32209.600395308138,1.7762777242044359,0.0
2017-02-02,1059.0,936.0,28332.330626045812,1.7677053824362605,0.0
2017-02-03,1052.0,931.0,41267.19043505358,1.768060836501901,0.0028517110266159697
2017-02-04,1032.0,915.0,28071.980228527085,1.7732558139534884,0.0
2017-02-05,1036.0,931.0,15275.047700762214,1.7972972972972974,0.0
2017-02-06,1028.0,913.0,57037.278240815795,1.7762645914396886,0.0
2017-02-07,1026.0,905.0,27905.57311008621,1.7641325536062378,0.0
2017-02-08,1041.0,914.0,21854.265047684254,1.7540826128722382,0.0
2017-02-09,1026.0,905.0,46617.12893277976,1.7641325536062378,0.0
2017-02-10,1030.0,932.0,30152.160174762463,1.8097087378640777,0.0
2017-02-11,1045.0,939.0,21832.839422843208,1.797129186602871,0.002232854864433812
2017-02-12,1060.0,941.0,26192.577179475673,1.7754716981132075,0.0
2017-02-13,1061.0,936.0,18015.63480852103,1.764373232799246,0.0
2017-02-14,1089.0,929.0,92317.23698274975,1.7061524334251608,0.0
2017-02-15,1076.0,949.0,77331.41387375543,1.7639405204460967,0.0
2017-02-16,1081.0,944.0,60672.19159331858,1.7465309898242367,0.0
2017-02-17,1071.0,942.0,75736.35760086603,1.757236227824463,0.0
2017-02-18,1091.0,940.0,83721.48071440248,1.7213565536205315,0.0
2017-02-19,1064.0,939.0,40461.67955484685,1.7612781954887218,0.0
2017-02-20,1064.0,934.0,50988.59902592424,1.755639097744361,0.0
2017-02-21,1101.0,967.0,210480.65719582245,1.7565849227974568,0.002119285498032092
2017-02-22,1066.0,945.0,34123.05472686704,1.7729831144465291,0.0
2017-02-23,1080.0,943.0,74440.61464203811,1.7444444444444445,0.0018579036552892761
2017-02-24,1090.0,937.0,103728.04876253223,1.7192660550458716,0.0
2017-02-25,1065.0,940.0,70375.23537088811,1.7652582159624413,0.0021909233176838814
2017-02-26,1092.0,946.0,99153.85298292324,1.7326007326007327,0.002136752136752137
2017-02-27,1114.0,954.0,167920.690161879,1.7127468581687613,0.0
2017-02-28,1144.0,954.0,315271.60618487094,1.667832167832168,0.0
2017-03-01,1163.0,963.0,319509.74283221504,1.654342218400688,0.0068801266565668975
2017-03-02,1184.0,981.0,221497.43308575364,1.6570945945945945,0.001970720720720721
2017-03-03,1191.0,963.0,326771.7107607053,1.6171284634760705,0.0027987685418415895
2017-03-04,1131.0,958.0,154883.7339341197,1.6940760389036251,0.0
2017-03-05,1145.0,966.0,201754.89904529657,1.6873362445414848,0.0
2017-03-06,1197.0,970.0,405286.62755733886,1.620718462823726,0.0
2017-03-07,1110.0,933.0,216885.18014234805,1.681081081081081,0.0
2017-03-08,1123.0,947.0,237375.29683213966,1.6847729296527159,0.0
2017-03-09,1152.0,956.0,317252.5062453841,1.6597222222222223,0.0
2017-03-10,1146.0,954.0,278026.2744639234,1.6649214659685865,0.0
2017-03-11,1166.0,954.0,346902.1906752629,1.6363636363636365,0.0
2017-03-12,1239.0,970.0,527388.2033485475,1.565778853914447,0.0
2017-03-13,1289.0,970.0,232006.58233143645,1.505042668735454,0.0
2017-03-14,1251.0,966.0,150874.4526744655,1.5443645083932853,0.0
2017-03-15,1203.0,953.0,123750.92157283626,1.5843724023275145,0.0
