timestamp,price,ret,n_nodes,n_edges,total_volume,avg_degree,avg_clustering
2017-01-01,998.3250122070312,0.0352542450313508,,,,,
2017-01-02,1021.75,0.0231932356156816,1002.0,912.0,49574.292044722795,1.818363273453094,0.0
2017-01-03,1043.8399658203125,0.0213893448040254,1057.0,937.0,100613.4042231716,1.772942289498581,0.0
2017-01-04,1154.72998046875,0.1009603452320035,1064.0,925.0,172576.62100687332,1.7387218045112782,0.0
2017-01-05,1013.3800048828124,-0.1305752503587252,1062.0,921.0,181650.54881645087,1.734463276836158,0.0
2017-01-06,902.2009887695312,-0.1162092411941806,1081.0,932.0,211765.74475053823,1.7206290471785384,0.0
2017-01-07,908.5850219726562,0.0070511475300856,1078.0,937.0,184875.8753896902,1.738404452690167,0.0
2017-01-08,911.198974609375,0.0028728183557964,1054.0,933.0,93583.5851833288,1.7703984819734346,0.0
2017-01-09,902.8280029296876,-0.0092292244847635,1065.0,937.0,65545.06236578434,1.75962441314554,0.0
2017-01-10,907.6790161132812,0.0053587472913489,1051.0,928.0,135467.29914470788,1.7659372026641291,0.0
2017-01-11,777.7570190429688,-0.1544766490768223,1009.0,896.0,172409.80031637204,1.77601585728444,0.0
2017-01-12,804.833984375,0.0342218650168941,1040.0,925.0,110184.57633059492,1.7788461538461535,0.0
2017-01-13,823.9840087890625,0.0235150973517184,1034.0,919.0,114233.6158947244,1.7775628626692457,0.0
2017-01-14,818.4119873046875,-0.0067852611373782,1022.0,906.0,46543.92170311662,1.7729941291585127,0.0
2017-01-15,821.7979736328125,0.0041287289050426,1043.0,919.0,10249.885782258829,1.760306807286673,0.0
2017-01-16,831.5339965820312,0.0117775929650489,1013.0,906.0,11717.580440760252,1.7887462981243831,0.0
2017-01-17,907.93798828125,0.0879038977801753,1049.0,930.0,16276.772315750384,1.773117254528122,0.0014299332697807
2017-01-18,886.6179809570312,-0.023761878519636,1036.0,908.0,236719.627832972,1.752895752895753,0.0
2017-01-19,899.072998046875,0.01395002743239,1027.0,904.0,17307.02448589391,1.760467380720545,0.0
2017-01-20,895.0260009765625,-0.0045114611140766,1050.0,929.0,44011.67726238194,1.7695238095238095,0.0
2017-01-21,921.7890014648438,0.029463579406781,1055.0,942.0,54290.57250167531,1.7838862559241706,0.0
2017-01-22,924.6729736328124,0.0031237843530158,1013.0,909.0,23055.915437535223,1.7946692991115498,0.0
2017-01-23,921.0120239257812,-0.0039670415190347,1017.0,912.0,36326.12636661172,1.791543756145526,0.0
2017-01-24,892.68701171875,-0.031237062820324,1030.0,922.0,13039.387304532813,1.7902912621359224,0.0
2017-01-25,901.5419921875,0.0098705932669602,1041.0,915.0,21021.51684688345,1.7579250720461097,0.0
2017-01-26,917.5859985351562,0.0176396849989499,1038.0,928.0,21217.57252078224,1.786127167630058,0.0
2017-01-27,919.75,0.0023555870752023,1037.0,909.0,13094.61705385792,1.7531340405014464,0.0
2017-01-28,921.5900268554688,0.0019985743437933,1009.0,900.0,12807.378102663735,1.7839444995044598,0.0
2017-01-29,919.4959716796876,-0.0022748052839061,986.0,898.0,7397.690902446904,1.81947261663286,0.0
2017-01-30,920.3820190429688,0.0009631589010199,1022.0,912.0,31710.66522851668,1.7847358121330723,0.0
2017-01-31,970.4030151367188,0.0529226427863109,1028.0,908.0,7830.543598523538,1.764591439688716,0.0
2017-02-01,989.0230102539062,0.0190061328018638,1031.0,924.0,31443.76877513476,1.7924345295829291,0.0
2017-02-02,1011.7999877929688,0.0227685922592018,1037.0,921.0,32209.600395308134,1.776277724204436,0.0
2017-02-03,1029.9100341796875,0.0177405421590632,1059.0,936.0,28332.330626045812,1.7677053824362603,0.0
2017-02-04,1042.9000244140625,0.0125338645847188,1052.0,931.0,41267.19043505358,1.768060836501901,0.0028517110266159
2017-02-05,1027.3399658203125,-0.0150324133234711,1032.0,915.0,28071.980228527085,1.7732558139534884,0.0
2017-02-06,1038.1500244140625,0.0104674022593957,1036.0,931.0,15275.047700762214,1.7972972972972974,0.0
2017-02-07,1061.3499755859375,0.0221013532147393,1028.0,913.0,57037.278240815795,1.7762645914396886,0.0
2017-02-08,1063.0699462890625,0.001619238325925,1026.0,905.0,27905.57311008621,1.7641325536062378,0.0
2017-02-09,994.3829956054688,-0.0667937371186484,1041.0,914.0,21854.265047684257,1.7540826128722382,0.0
2017-02-10,988.6740112304688,-0.0057577771363419,1026.0,905.0,46617.12893277976,1.7641325536062378,0.0
2017-02-11,1004.4500122070312,0.0158307564025603,1030.0,932.0,30152.160174762463,1.8097087378640777,0.0
2017-02-12,999.1810302734376,-0.0052594454444507,1045.0,939.0,21832.839422843208,1.797129186602871,0.0022328548644338
2017-02-13,990.6420288085938,-0.0085827268342475,1060.0,941.0,26192.577179475673,1.7754716981132077,0.0
2017-02-14,1004.5499877929688,0.013941699990017,1061.0,936.0,18015.63480852103,1.764373232799246,0.0
2017-02-15,1007.47998046875,0.0029124762485075,1089.0,929.0,92317.23698274976,1.7061524334251608,0.0
2017-02-16,1027.43994140625,0.0196180703549861,1076.0,949.0,77331.41387375543,1.7639405204460967,0.0
2017-02-17,1046.2099609375,0.0181038584795922,1081.0,944.0,60672.19159331858,1.7465309898242367,0.0
2017-02-18,1054.4200439453125,0.0078168214236082,1071.0,942.0,75736.35760086603,1.757236227824463,0.0
2017-02-19,1047.8699951171875,-0.0062313666537283,1091.0,940.0,83721.48071440248,1.7213565536205315,0.0
2017-02-20,1079.97998046875,0.0301829766180574,1064.0,939.0,40461.67955484685,1.7612781954887218,0.0
