timestamp,realized_var,garch_var,garchx_var,price,ret,n_nodes,n_edges,total_volume,avg_degree,avg_clustering,residual,anomaly_flag,anomaly
2022-08-09,0.0007274642582747,0.0009211430623803,0.001254486778767,23164.318359375,-0.0274709934963759,1400.0,998.0,3106.408995455231,1.4257142857142855,0.0,-0.0005270225204923001,1,0
2022-08-10,0.0007546554836779,0.0009261476822952,0.0013392622730304,23947.642578125,0.033256795053882,1383.0,994.0,1701.9310453108212,1.4374548083875631,0.0,-0.0005846067893525,1,0
2022-08-11,0.0011060144172559,0.000933007424986,0.0015115930039674,23957.529296875,0.0004127620673681,1388.0,991.0,5908.686346425477,1.4279538904899136,0.0,-0.0004055785867115001,1,0
2022-08-12,1.703725242579879e-07,0.000972150565878,0.0013584584874527,24402.818359375,0.0184159820568972,1410.0,997.0,2382.452740216828,1.4141843971631205,0.0,-0.001358288114928442,1,0
2022-08-13,0.0003391483951199,0.0009035660759997,0.0015407493051756,24424.068359375,0.0008704221288589,1394.0,992.0,1284.9293033887252,1.423242467718795,0.0,-0.0012016009100557,1,0
2022-08-14,7.576346824072596e-07,0.0008730595316868,0.0014430245335584,24319.333984375,-0.0042973830773309,1387.0,995.0,939.6351797080576,1.4347512617159337,0.0,-0.0014422668988759927,1,0
2022-08-15,1.846750131332999e-05,0.0008130752176383,0.0012787200953395,24136.97265625,-0.0075268711844547,1365.0,990.0,621.8951214757981,1.4505494505494505,0.0,-0.0012602525940261702,1,0
2022-08-16,5.66537898273745e-05,0.0007598965535268,0.0012638015587115,23883.291015625,-0.0105657062741357,1413.0,996.0,4903.169463087365,1.4097664543524415,0.0,-0.0012071477688841254,1,0
2022-08-17,0.0001116341490713,0.0007149767257471,0.0011525009694586,23335.998046875,-0.0231819448838646,1363.0,992.0,2183.039736705066,1.4556126192223038,0.0,-0.0010408668203873,1,0
2022-08-18,0.0005374025685985,0.0006794306607793,0.0015576798215033,23212.73828125,-0.0052959570307784,1375.0,995.0,3796.681096755705,1.4472727272727273,0.0,-0.0010202772529048,1,0
2022-08-19,2.804716087185117e-05,0.0006892935187589,0.001375905647002,20877.552734375,-0.1060266419016873,1385.0,997.0,6571.283031355604,1.43971119133574,0.0,-0.0013478584861301487,1,0
2022-08-20,0.0112416487929486,0.0006477341626097,0.0015068378943405,21166.060546875,0.0137244313026627,1368.0,989.0,1030.5391238687273,1.445906432748538,0.0,0.009734810898608101,-1,1
2022-08-21,0.0001883600145815,0.0016668165907492,0.0016519003631748,21534.12109375,0.0172397235125565,1334.0,994.0,1199.772927760243,1.490254872563718,0.0,-0.0014635403485932998,1,0
2022-08-22,0.0002972080667893,0.0015487700137251,0.0012231757872673,21398.908203125,-0.0062988025716244,1343.0,993.0,639.4452667793338,1.4787788533134774,0.0,-0.0009259677204779999,1,0
2022-08-23,3.967491383630215e-05,0.001453827770955,0.001334141057649,21528.087890625,0.0060185938546641,1381.0,994.0,1962.0854032568936,1.439536567704562,0.0,-0.0012944661438126978,1,0
2022-08-24,3.622347198740047e-05,0.0013438128666438,0.0012133280745744,21395.01953125,-0.0062003332785298,1360.0,989.0,789.5366179591007,1.4544117647058823,0.0,-0.0011771046025869996,1,0
2022-08-25,3.8444132764844095e-05,0.0012447026846622,0.0013815517182196,21600.904296875,0.0095770166529565,1386.0,994.0,3426.737388326035,1.4343434343434345,0.0,-0.001343107585454756,1,0
2022-08-26,9.171924797100612e-05,0.0011556545556508,0.0011870006843623,20260.01953125,-0.0640857165596635,1385.0,994.0,11556.95320932036,1.4353790613718411,0.0,-0.0010952814363912938,1,0
2022-08-27,0.0041069790669655,0.0010799500830419,0.0014777121672667,20041.73828125,-0.0108324498139271,1389.0,993.0,2996.7159961803377,1.429805615550756,0.0,0.0026292668996988,-1,1
2022-08-28,0.0001173419689712,0.0013816154208915,0.0017247895461981,19616.814453125,-0.021429934307255,1361.0,993.0,1298.3608503442088,1.4592211609110948,0.0,-0.0016074475772269,1,0
2022-08-29,0.0004592420844132,0.0012872141795975,0.0014407680360268,20297.994140625,0.0341349916299833,1324.0,991.0,769.4006166101287,1.496978851963746,0.0,-0.0009815259516136,1,0
2022-08-30,0.001165197653579,0.0012334708585367,0.001311772704038,19796.80859375,-0.025001327783567,1374.0,994.0,1168.9738215476546,1.4468704512372634,0.0,-0.00014657505045900018,1,0
2022-08-31,0.0006250663909413,0.0012497475784728,0.0012361013125532,20049.763671875,0.0126966241687931,1394.0,991.0,2529.921255615588,1.4218077474892397,0.0,-0.0006110349216119,1,0
2022-09-01,0.0001612042652835,0.0012147472214794,0.0012980855410494,20127.140625,0.003851817363536,1395.0,995.0,1932.061380121951,1.4265232974910391,0.0,-0.0011368812757658999,1,0
2022-09-02,1.4836497002037422e-05,0.0011400538794807,0.0013818380722009,19969.771484375,-0.0078494796911599,1378.0,991.0,3594.3996022141914,1.4383164005805515,0.0,-0.0013670015751988626,1,0
2022-09-03,6.161433142193171e-05,0.0010590264024303,0.001383435797106,19832.087890625,-0.006918477935498,1373.0,993.0,1660.876664714691,1.4464675892206846,0.0,-0.0013218214656840683,1,0
2022-09-04,4.786533694397267e-05,0.0009895974443552,0.0014487631301196,19986.712890625,0.0077664708222702,1375.0,996.0,537.1330603180097,1.4487272727272726,0.0,-0.0014008977931756273,1,0
2022-09-05,6.031806903317435e-05,0.0009250876657386,0.0013404068646153,19812.37109375,-0.0087611519961718,1300.0,997.0,230.2405244619846,1.533846153846154,0.0,-0.0012800887955821258,1,0
