timestamp,price,ret,n_nodes,n_edges,total_volume,avg_degree,avg_clustering,volatility,volatility_7d,volatility_30d,vol_regime,volume_ma_7,volume_momentum,degree_density,network_activity,cluster
2019-03-25,3963.070556640625,-0.0148019957754375,1410.0,986.0,3582.7737009534026,1.398581560283688,0.0,0.00021909907893606962,7.905836965987838e-05,0.0003584246809237013,0.6112834595302598,9106.450782935006,0.393432500361977,0.0,5010.801232822773,0
2019-03-26,3985.080810546875,0.0055384728228027,1434.0,988.0,5523.089225530066,1.3779637377963738,0.0,3.0674681208924106e-05,7.041961843194645e-05,0.0001266792683194277,0.24214444570027405,8325.672448257455,0.6633805569285921,0.0,7610.616673394289,0
2019-03-27,4087.066162109375,0.0252698021617785,1433.0,981.0,4627.7776465173465,1.369155617585485,0.0,0.0006385629012954254,0.000159365902333274,0.00013619784015736852,4.688495063927621,5587.673326274836,0.8282119186811109,0.0,6336.14776166576,0
2019-03-28,4069.107177734375,-0.0044037841400328,1425.0,987.0,9325.44679401639,1.3852631578947368,0.0,1.9393314752004424e-05,0.0001328073618885063,0.00013505556816214697,0.14359507731455334,5868.675101830684,1.5890207980856523,0.0,12918.197874658494,0
2019-03-29,4098.37451171875,0.0071668258025052,1458.0,994.0,5537.235957067556,1.3635116598079562,0.0,5.136339208345431e-05,0.00013989198705384364,0.00013674306920920156,0.3756197106039362,5455.575338781038,1.014968287158649,0.0,7550.08579056948,0
2019-03-30,4106.66015625,0.0020196495646782,1499.0,989.0,5234.173163593207,1.3195463642428285,0.0,4.078984364104843e-06,0.00013923775858889624,0.00013684766012866785,0.029806752707862687,5319.661053913164,0.98392982382645,0.0,6906.7341678368,0
2019-03-31,4105.404296875,-0.0003058571670884,1439.0,985.0,5895.317925187125,1.369006254343294,0.0,9.354860665934144e-08,0.00013760941446380677,0.0001367991938207931,0.0006838388739475328,5675.116344695011,1.0388012451406312,0.0,8070.727110923305,0
2019-04-01,4158.18310546875,0.0127739984353123,1481.0,994.0,3628.697327002923,1.3423362592842674,0.0,0.0001631750360253611,0.00012962026547656269,0.0001421861963224,1.1476151711335605,5681.676862702086,0.63866661457357,0.0,4870.931996003924,0
2019-04-03,4973.02197265625,0.0189074929695092,1440.0,990.0,8366.788733110308,1.375,0.0,0.0003574932903920398,0.0037441475506300942,0.0009903330131487479,0.3609829074115137,6190.263506223434,1.3516046166207119,0.0,11504.334508026674,0
2019-04-04,4922.798828125,-0.0101504618478838,1459.0,976.0,7122.834573430318,1.3379026730637422,0.0,0.00010303187572534459,0.0037560959164834283,0.0009524340796876619,0.10817743497705638,5875.604617568281,1.212272614827208,0.0,9529.659415583263,0
